system:index,Npp,Npp_QC,Sbsp,ag__,ath_,athr,dtty,frbs,fung,grmn,hrst,lchn,moss,sesn,shrb,sym_,tree,vscl,year,.geo
2000_02_18_00000000000000000080,,,5-Reindeer,,Gaare and Skogland 1975,Gaare and Skogland,rumen,0.0,0.0,27.9,,55.9,2.5,4-Winter,8.9,3,0.0,8.9,2000.0,"{""type"":""Point"",""coordinates"":[-7.249998893585013,60.030001362362384]}"
2000_02_18_00000000000000000081,,,5-Reindeer,,Gaare and Skogland 1975,Gaare and Skogland,rumen,0.0,0.0,26.3,,53.2,3.2,4-Winter,12.0,3,0.0,12.0,2000.0,"{""type"":""Point"",""coordinates"":[-7.249998893585013,60.030001362362384]}"
2000_02_18_00000000000000000082,,,5-Reindeer,,Gaare and Skogland 1975,Gaare and Skogland,rumen,0.0,0.0,21.8,,34.1,12.0,5-Spring,22.0,3,0.0,22.0,2000.0,"{""type"":""Point"",""coordinates"":[-7.249998893585013,60.030001362362384]}"
2000_02_18_00000000000000000083,,,5-Reindeer,,Gaare and Skogland 1975,Gaare and Skogland,rumen,0.1,0.0,25.1,,31.2,6.1,1-Calving,25.0,3,0.0,25.1,2000.0,"{""type"":""Point"",""coordinates"":[-7.249998893585013,60.030001362362384]}"
2000_02_18_00000000000000000084,,,5-Reindeer,,Gaare and Skogland 1975,Gaare and Skogland,rumen,7.6,0.0,49.0,,25.1,3.7,2-Summer,13.3,3,0.0,20.9,2000.0,"{""type"":""Point"",""coordinates"":[-7.249998893585013,60.030001362362384]}"
2000_02_18_00000000000000000085,,,5-Reindeer,,Gaare and Skogland 1975,Gaare and Skogland,rumen,1.1,0.5,47.0,,34.0,5.3,3-Autumn,10.5,3,0.0,11.6,2000.0,"{""type"":""Point"",""coordinates"":[-7.249998893585013,60.030001362362384]}"
2000_02_18_00000000000000000086,,,5-Reindeer,,Gaare and Skogland 1975,Gaare and Skogland,rumen,0.0,0.0,38.0,,51.3,2.1,3-Autumn,3.9,3,0.0,3.9,2000.0,"{""type"":""Point"",""coordinates"":[-7.249998893585013,60.030001362362384]}"
2000_02_18_00000000000000000087,1514.0,21.0,4-Woodland,,Bergerud 1972,Bergerud,rumen,12.0,,51.0,,10.0,,1-Calving,15.0,1,0.0,27.0,2000.0,"{""type"":""Point"",""coordinates"":[53.00000113745124,48.50000120914315]}"
2000_02_18_00000000000000000088,1514.0,21.0,4-Woodland,,Bergerud 1972,Bergerud,rumen,8.0,25.0,10.0,,24.0,5.0,2-Summer,23.0,1,0.0,31.0,2000.0,"{""type"":""Point"",""coordinates"":[53.00000113745124,48.50000120914315]}"
2000_02_18_00000000000000000089,1514.0,21.0,4-Woodland,,Bergerud 1972,Bergerud,rumen,12.0,12.0,10.0,,40.0,5.0,3-Autumn,21.0,1,0.0,33.0,2000.0,"{""type"":""Point"",""coordinates"":[53.00000113745124,48.50000120914315]}"
2000_02_18_0000000000000000008a,1514.0,21.0,4-Woodland,,Bergerud 1972,Bergerud,rumen,0.0,,7.0,,56.0,6.0,4-Winter,26.0,1,4.0,30.0,2000.0,"{""type"":""Point"",""coordinates"":[53.00000113745124,48.50000120914315]}"
2000_02_18_0000000000000000008b,3251.0,28.0,2-Barren Ground,,Thomas and Hervieux 1986,Thomas and Hervieux,rumen,0.0,,,,68.5,4.9,4-Winter,5.2,1,11.9,17.1,2000.0,"{""type"":""Point"",""coordinates"":[124.00000198813481,64.00000145766]}"
2000_02_18_0000000000000000008c,,,5-Reindeer,,Bezard et al 2015,Bezard et al,fecal,0.0,,20.93,,46.35,6.44,4-Winter,26.25,1,0.0,26.25,2000.0,"{""type"":""Point"",""coordinates"":[-26.459997973175156,69.58000012021373]}"
2000_02_18_0000000000000000008d,,,5-Reindeer,,Bezard et al 2015,Bezard et al,fecal,0.0,,30.2,,42.58,2.352,2-Summer,24.92,1,0.0,24.92,2000.0,"{""type"":""Point"",""coordinates"":[-26.459997973175156,69.58000012021373]}"
2000_02_18_0000000000000000008e,,,5-Reindeer,,Bezard et al 2015,Bezard et al,fecal,0.0,,32.76,,33.62,3.696,4-Winter,30.8,1,0.0,30.8,2000.0,"{""type"":""Point"",""coordinates"":[-26.9999995698485,68.80000078664182]}"
2000_02_18_0000000000000000008f,,,5-Reindeer,,Bezard et al 2015,Bezard et al,fecal,0.0,,36.19,,32.95,2.912,2-Summer,28.4,1,0.0,28.4,2000.0,"{""type"":""Point"",""coordinates"":[-26.9999995698485,68.80000078664182]}"
2000_02_18_00000000000000000090,,,5-Reindeer,,Bezard et al 2015,Bezard et al,fecal,0.0,,20.94,,37.4,3.528,2-Summer,37.85,1,0.0,37.85,2000.0,"{""type"":""Point"",""coordinates"":[-26.38000170027633,69.48000031998914]}"
2000_02_18_00000000000000000091,,,5-Reindeer,,Mathiesen et al 1999,Mathiesen et al,rumen,48.5,0.4,16.7,,10.8,4.2,2-Summer,17.6,0,0.0,66.1,2000.0,"{""type"":""Point"",""coordinates"":[-20.99999817907071,69.00000038709096]}"
2000_02_18_00000000000000000092,,,5-Reindeer,,Mathiesen et al 1999,Mathiesen et al,rumen,8.41,0.0,12.7,,36.2,6.3,4-Winter,36.01,0,0.0,44.42,2000.0,"{""type"":""Point"",""coordinates"":[-22.999998642663307,69.00000038709096]}"
2000_02_18_0000000000000000002f,1637.0,53.0,2-Barren Ground,9.0,Gustine et al. 2014,Gustine et al.,fecal,1.0,,1.0,,90.0,4.0,4-Winter,4.0,1,0.0,5.0,2000.0,"{""type"":""Point"",""coordinates"":[116.99999813601018,69.00000038709096]}"
2000_02_18_0000000000000000001b,1519.0,36.0,2-Barren Ground,7.3,Gustine et al. 2012,Gustine et al.,fecal,1.0,,6.0,,76.0,9.0,4-Winter,7.0,3,0.0,8.0,2000.0,"{""type"":""Point"",""coordinates"":[149.99999909663651,69.00000038709096]}"
2000_02_18_0000000000000000001c,1519.0,36.0,2-Barren Ground,7.3,Gustine et al. 2012,Gustine et al.,fecal,0.0,,9.0,,61.0,24.0,4-Winter,7.0,3,0.0,7.0,2000.0,"{""type"":""Point"",""coordinates"":[149.99999909663651,69.00000038709096]}"
2000_02_18_0000000000000000001d,1519.0,36.0,2-Barren Ground,7.3,Gustine et al. 2012,Gustine et al.,fecal,13.0,,7.0,,47.0,23.0,4-Winter,10.0,3,0.0,23.0,2000.0,"{""type"":""Point"",""coordinates"":[149.99999909663651,69.00000038709096]}"
2000_02_18_00000000000000000025,1519.0,36.0,2-Barren Ground,7.3,Gustine et al. 2014,Gustine et al.,fecal,1.0,,6.0,,76.0,9.0,4-Winter,8.0,3,0.0,9.0,2000.0,"{""type"":""Point"",""coordinates"":[149.99999909663651,69.00000038709096]}"
2000_02_18_00000000000000000026,1519.0,36.0,2-Barren Ground,7.3,Gustine et al. 2014,Gustine et al.,fecal,0.0,,9.0,,61.0,24.0,4-Winter,7.0,3,0.0,7.0,2000.0,"{""type"":""Point"",""coordinates"":[149.99999909663651,69.00000038709096]}"
