lichen,graminoid,shrubs,forbs,horsetail,tree,moss,fungi,vascular,data type,latitude,longitude,sympatric_ungulates,aug_daily_average,Subspecies,season,authors,author_yr
60,7,18,0,,0,13,,18,fecal,66,-160,1,13.3,2-Barren Ground,4-Winter,Gustine et al.,Gustine et al. 2012
72,1,10,4,,0,13,,14,fecal,62,-138,4,10.9,4-Woodland,4-Winter,Gustine et al.,Gustine et al. 2012
68,3,4,4,,0,20,,8,fecal,62,-138,4,10.9,4-Woodland,4-Winter,Gustine et al.,Gustine et al. 2012
54,15,15,0,,0,16,,15,fecal,63,-150,2,13.7,2-Barren Ground,4-Winter,Gustine et al.,Gustine et al. 2012
77,5,5,0,,0,13,,5,fecal,63,-150,2,13.7,2-Barren Ground,4-Winter,Gustine et al.,Gustine et al. 2012
76,6,8,1,,0,9,,9,fecal,69,-150,3,7.3,2-Barren Ground,4-Winter,Gustine et al.,Gustine et al. 2014
61,9,7,0,,0,24,,7,fecal,69,-150,3,7.3,2-Barren Ground,4-Winter,Gustine et al.,Gustine et al. 2014
47,7,10,13,,0,24,,23,fecal,69,-150,3,7.3,2-Barren Ground,4-Winter,Gustine et al.,Gustine et al. 2014
72,2,11,4,,0,13,,15,fecal,62,-138,4,10.9,4-Woodland,4-Winter,Gustine et al.,Gustine et al. 2014
68,3,4,4,,0,20,,8,fecal,62,-138,4,10.9,4-Woodland,4-Winter,Gustine et al.,Gustine et al. 2014
54,15,15,0,,0,16,,15,fecal,63,-150,2,13.7,2-Barren Ground,4-Winter,Gustine et al.,Gustine et al. 2014
77,5,5,0,,0,13,,5,fecal,63,-150,2,13.7,2-Barren Ground,4-Winter,Gustine et al.,Gustine et al. 2014
68,5,15,0,,0,11,,15,fecal,66,-160,1,13.3,2-Barren Ground,4-Winter,Gustine et al.,Gustine et al. 2014
77,6,7,4,,0,6,,11,fecal,66,-160,1,13.3,2-Barren Ground,4-Winter,Gustine et al.,Gustine et al. 2014
60,7,18,1,,0,13,,19,fecal,66,-160,1,13.3,2-Barren Ground,4-Winter,Gustine et al.,Gustine et al. 2014
90,1,4,1,,0,4,,5,fecal,69,-117,1,9,2-Barren Ground,4-Winter,Gustine et al.,Gustine et al. 2014
53,10,16,4,,0,18,,20,fecal,66,-115,1,8.8,2-Barren Ground,4-Winter,Gustine et al.,Gustine et al. 2014
75,5,6,1,,0,13,,7,fecal,67,-52,1,,2-Barren Ground,4-Winter,Gustine et al.,Gustine et al. 2014
55.5,7.2,2.9,12,15.3,0,7,,14.9,fecal,65.285,-164.675,2,10.1,6-Introduced-Reindeer,4-Winter,Ihl and Klein,Ihl and Klein 2001
53.6,12.1,8.6,8.4,7,0,10.4,,17,fecal,65.285,-164.675,2,10.1,6-Introduced-Reindeer,4-Winter,Ihl and Klein,Ihl and Klein 2001
65.9,4.2,11.3,5,,0,8.1,3.6,16.3,fecal,67.1,-156,3,11.4,2-Barren Ground,3-Autumn,Joly and Cameron,Joly and Cameron 2018
70.8,6.7,9.1,6,,0,11,0,15.1,fecal,67.1,-156,3,11.4,2-Barren Ground,4-Winter,Joly and Cameron,Joly and Cameron 2018
