system:index,Npp,Npp_QC,author_yr,max_year,min_year,year,.geo
2005_01_01_00000000000000000091,,,Bezard et al 2015,2008,2005,2005.0,"{""type"":""Point"",""coordinates"":[-26.9999995698485,68.80000078664182]}"
2005_01_01_00000000000000000092,,,Bezard et al 2015,2008,2005,2005.0,"{""type"":""Point"",""coordinates"":[-26.38000170027633,69.48000031998914]}"
2005_01_01_0000000000000000001b,1719.0,47.0,Gustine et al. 2012,2008,2006,2005.0,"{""type"":""Point"",""coordinates"":[149.99999909663651,69.00000038709096]}"
2005_01_01_0000000000000000001c,1719.0,47.0,Gustine et al. 2012,2008,2006,2005.0,"{""type"":""Point"",""coordinates"":[149.99999909663651,69.00000038709096]}"
2005_01_01_0000000000000000001d,1719.0,47.0,Gustine et al. 2012,2008,2006,2005.0,"{""type"":""Point"",""coordinates"":[149.99999909663651,69.00000038709096]}"
2005_01_01_0000000000000000001e,2228.0,39.0,Gustine et al. 2012,2008,2006,2005.0,"{""type"":""Point"",""coordinates"":[160.00000141459947,66.0000019212526]}"
2005_01_01_0000000000000000001f,2228.0,39.0,Gustine et al. 2012,2008,2006,2005.0,"{""type"":""Point"",""coordinates"":[160.00000141459947,66.0000019212526]}"
2005_01_01_00000000000000000020,2228.0,39.0,Gustine et al. 2012,2008,2006,2005.0,"{""type"":""Point"",""coordinates"":[160.00000141459947,66.0000019212526]}"
2005_01_01_00000000000000000021,1905.0,41.0,Gustine et al. 2012,2008,2006,2005.0,"{""type"":""Point"",""coordinates"":[138.00000077418193,62.000000994067406]}"
2005_01_01_00000000000000000022,1905.0,41.0,Gustine et al. 2012,2008,2006,2005.0,"{""type"":""Point"",""coordinates"":[138.00000077418193,62.000000994067406]}"
2005_01_01_00000000000000000025,1719.0,47.0,Gustine et al. 2014,2009,2006,2005.0,"{""type"":""Point"",""coordinates"":[149.99999909663651,69.00000038709096]}"
2005_01_01_00000000000000000026,1719.0,47.0,Gustine et al. 2014,2009,2006,2005.0,"{""type"":""Point"",""coordinates"":[149.99999909663651,69.00000038709096]}"
2005_01_01_00000000000000000027,1719.0,47.0,Gustine et al. 2014,2009,2006,2005.0,"{""type"":""Point"",""coordinates"":[149.99999909663651,69.00000038709096]}"
2005_01_01_00000000000000000028,1905.0,41.0,Gustine et al. 2014,2009,2006,2005.0,"{""type"":""Point"",""coordinates"":[138.00000077418193,62.000000994067406]}"
2005_01_01_00000000000000000029,1905.0,41.0,Gustine et al. 2014,2009,2006,2005.0,"{""type"":""Point"",""coordinates"":[138.00000077418193,62.000000994067406]}"
2005_01_01_0000000000000000002a,2873.0,16.0,Gustine et al. 2014,2009,2006,2005.0,"{""type"":""Point"",""coordinates"":[149.99999909663651,62.999998996313174]}"
2005_01_01_0000000000000000002b,2873.0,16.0,Gustine et al. 2014,2009,2006,2005.0,"{""type"":""Point"",""coordinates"":[149.99999909663651,62.999998996313174]}"
2005_01_01_0000000000000000002c,2228.0,39.0,Gustine et al. 2014,2009,2006,2005.0,"{""type"":""Point"",""coordinates"":[160.00000141459947,66.0000019212526]}"
2005_01_01_0000000000000000002d,2228.0,39.0,Gustine et al. 2014,2009,2006,2005.0,"{""type"":""Point"",""coordinates"":[160.00000141459947,66.0000019212526]}"
2005_01_01_0000000000000000002e,2228.0,39.0,Gustine et al. 2014,2009,2006,2005.0,"{""type"":""Point"",""coordinates"":[160.00000141459947,66.0000019212526]}"
2005_01_01_0000000000000000002f,1821.0,37.0,Gustine et al. 2014,2009,2006,2005.0,"{""type"":""Point"",""coordinates"":[116.99999813601018,69.00000038709096]}"
2005_01_01_00000000000000000030,1931.0,17.0,Gustine et al. 2014,2009,2006,2005.0,"{""type"":""Point"",""coordinates"":[115.00000213151867,66.0000019212526]}"
2005_01_01_00000000000000000031,1606.0,63.0,Gustine et al. 2014,2009,2006,2005.0,"{""type"":""Point"",""coordinates"":[51.999998676104404,66.99999992349836]}"
2005_01_01_00000000000000000023,2873.0,16.0,Gustine et al. 2012,2008,2007,2005.0,"{""type"":""Point"",""coordinates"":[149.99999909663651,62.999998996313174]}"
2005_01_01_00000000000000000024,2873.0,16.0,Gustine et al. 2012,2008,2007,2005.0,"{""type"":""Point"",""coordinates"":[149.99999909663651,62.999998996313174]}"
2005_01_01_0000000000000000003e,2433.0,27.0,Jung et al 2015,2010,2009,2005.0,"{""type"":""Point"",""coordinates"":[163.49999888156074,67.799998325295]}"
2005_01_01_0000000000000000003f,2433.0,27.0,Jung et al 2015,2010,2009,2005.0,"{""type"":""Point"",""coordinates"":[163.49999888156074,67.799998325295]}"
2005_01_01_00000000000000000055,,,Ophof et al. 2013,,2011,2005.0,"{""type"":""Point"",""coordinates"":[-26.999999569848498,69.2999997877647]}"
2005_01_01_00000000000000000056,,,Ophof et al. 2013,,2011,2005.0,"{""type"":""Point"",""coordinates"":[-26.999999569848498,69.2999997877647]}"
2005_01_01_00000000000000000036,2216.0,37.0,Joly and Cameron 2018,2013,2011,2005.0,"{""type"":""Point"",""coordinates"":[156.00000048741427,67.09999972372295]}"
