author_yr,season,Subspecies,data type,sympatric_ungulates,lichen,vascular,graminoid,Npp
Rominger and Oldemeyer 1990,4-Winter,4-Woodland,fecal,0,26.6,31.1,,4040.66666666667
Rominger and Oldemeyer 1990,4-Winter,4-Woodland,fecal,0,62.2,35.4,,4040.66666666667
Rominger and Oldemeyer 1990,4-Winter,4-Woodland,fecal,0,84,14,,4040.66666666667
Bezard et al 2015,4-Winter,5-Reindeer,fecal,1,46.35,26.25,20.93,
Bezard et al 2015,2-Summer,5-Reindeer,fecal,1,37.4,37.85,20.94,
Bezard et al 2015,2-Summer,5-Reindeer,fecal,1,42.58,24.92,30.2,
Bezard et al 2015,4-Winter,5-Reindeer,fecal,1,33.62,30.8,32.76,
Bezard et al 2015,2-Summer,5-Reindeer,fecal,1,32.95,28.4,36.19,
Bjorkvoll et al 2009,4-Winter,5-Reindeer,rumen,0,1.3,14.1,63.7,
Bjorkvoll et al 2009,5-Spring,5-Reindeer,rumen,4,2.4,32.2,32.3,
Bjorkvoll et al 2009,2-Summer,5-Reindeer,rumen,0,0.2,27.7,60.7,
Gaare and Skogland 1975,5-Spring,5-Reindeer,rumen,3,34.1,22,21.8,
Gaare and Skogland 1975,4-Winter,5-Reindeer,rumen,3,53.2,12,26.3,
Gaare and Skogland 1975,4-Winter,5-Reindeer,rumen,3,55.9,8.9,27.9,
Gaare and Skogland 1975,3-Autumn,5-Reindeer,rumen,3,51.3,3.9,38,
Gaare and Skogland 1975,1-Calving,5-Reindeer,rumen,3,31.2,25.1,25.1,
Gaare and Skogland 1975,3-Autumn,5-Reindeer,rumen,3,34,11.6,47,
Gaare and Skogland 1975,2-Summer,5-Reindeer,rumen,3,25.1,20.9,49,
Kojola et al 1995,4-Winter,5-Reindeer,fecal,2,53.2,22.9,6.3,
Kojola et al 1995,3-Autumn,5-Reindeer,fecal,2,53.9,16.5,10.1,
Mathiesen et al 1999,4-Winter,5-Reindeer,rumen,0,36.2,44.42,12.7,
Mathiesen et al 1999,2-Summer,5-Reindeer,rumen,0,10.8,66.1,16.7,
Mathiesen et al 2000,4-Winter,5-Reindeer,rumen,1,25.8,17.2,51.3,
Mathiesen et al 2000,4-Winter,5-Reindeer,rumen,1,14.4,27.1,53.4,
Mathiesen et al 2000,3-Autumn,5-Reindeer,rumen,1,14.8,25.1,60.9,
Mathiesen et al 2000,4-Winter,5-Reindeer,rumen,1,13.3,16.2,62.3,
Ophof et al. 2013,4-Winter,5-Reindeer,fecal,1,41.7,33.7,10,
Ophof et al. 2013,5-Spring,5-Reindeer,fecal,1,45.1,22.2,18.3,
Sormo et al 1999,4-Winter,5-Reindeer,rumen,0,2.2,4.6,35.5,
Sormo et al 1999,3-Autumn,5-Reindeer,rumen,0,0,39.3,68.2,
Sormo et al 1999,2-Summer,5-Reindeer,rumen,0,1.7,76.5,39.7,
Sormo et al 1999,4-Winter,5-Reindeer,rumen,0,0,81.7,30.3,
Sormo et al 1999,4-Winter,5-Reindeer,rumen,0,0.3,79.7,13,
Sormo et al 1999,3-Autumn,5-Reindeer,rumen,0,0.6,94.9,55.1,
Staaland and White 1991,4-Winter,5-Reindeer,rumen,0,2,12,41,
Staaland and White 1991,2-Summer,5-Reindeer,rumen,2,20,15,42,
Kazmin et al 2011,4-Winter,5-Reindeer,fecal,1,0,49.6,6.3,828.142857142857
Kazmin et al 2011,3-Autumn,5-Reindeer,fecal,1,0,37.9,15.9,828.142857142857
Kazmin et al 2011,2-Summer,5-Reindeer,fecal,1,0,43.1,22.4,828.142857142857
Rozenfield et al 2012,3-Autumn,5-Reindeer,fecal,2,0.02,0.301,0.536,828.142857142857
Rozenfield et al 2012,4-Winter,5-Reindeer,fecal,1,19.3,0.434,18.37,828.142857142857
Rozenfield et al 2012,5-Spring,5-Reindeer,fecal,1,0,0.58,0.342,828.142857142857
Rozenfield et al 2012,2-Summer,5-Reindeer,fecal,1,0.01,0.294,0.64,828.142857142857
Finstand and Kielland 2011,4-Winter,6-Introduced-Reindeer,fecal,2,76,7.7,3.1,2125.33333333333
Finstand and Kielland 2011,4-Winter,6-Introduced-Reindeer,fecal,2,71.9,4.76,12.5,2125.33333333333
Finstand and Kielland 2011,1-Calving,6-Introduced-Reindeer,fecal,2,49.4,16.1,17.9,2125.33333333333
Finstand and Kielland 2011,1-Calving,6-Introduced-Reindeer,fecal,2,36.8,29.1,32.4,2125.33333333333
Finstand and Kielland 2011,4-Winter,6-Introduced-Reindeer,fecal,2,71.8,7.2,15.3,2125.33333333333
Finstand and Kielland 2011,5-Spring,6-Introduced-Reindeer,fecal,2,56,7.1,12.1,2125.33333333333
Finstand and Kielland 2011,1-Calving,6-Introduced-Reindeer,fecal,2,38.9,47.3,10.4,2125.33333333333
Finstand and Kielland 2011,5-Spring,6-Introduced-Reindeer,fecal,2,68.8,9.2,10.3,2125.33333333333
Finstand and Kielland 2011,5-Spring,6-Introduced-Reindeer,fecal,0,56.2,15.9,13.9,2125.33333333333
Finstand and Kielland 2011,3-Autumn,6-Introduced-Reindeer,fecal,2,81.3,9.2,7.9,2125.33333333333
Finstand and Kielland 2011,2-Summer,6-Introduced-Reindeer,fecal,2,24.1,33.5,40.3,2125.33333333333
Finstand and Kielland 2011,3-Autumn,6-Introduced-Reindeer,fecal,2,68.7,7.6,12.4,2125.33333333333
Finstand and Kielland 2011,1-Calving,6-Introduced-Reindeer,fecal,2,31.4,45.1,16.7,2125.33333333333
Finstand and Kielland 2011,5-Spring,6-Introduced-Reindeer,fecal,2,65.1,7.4,11.1,2125.33333333333
Finstand and Kielland 2011,1-Calving,6-Introduced-Reindeer,fecal,2,49,26,13.8,2125.33333333333
Finstand and Kielland 2011,4-Winter,6-Introduced-Reindeer,fecal,2,76.6,15.5,4.8,2125.33333333333
Finstand and Kielland 2011,2-Summer,6-Introduced-Reindeer,fecal,2,48.8,23.9,5.3,2125.33333333333
Finstand and Kielland 2011,2-Summer,6-Introduced-Reindeer,fecal,2,62.3,18.3,14.1,2125.33333333333
Ihl and Klein 2001,4-Winter,6-Introduced-Reindeer,fecal,2,53.6,17,12.1,2125.33333333333
Ihl and Klein 2001,4-Winter,6-Introduced-Reindeer,fecal,2,55.5,14.9,7.2,2125.33333333333
