plant_species,type_plant,study,year
Festuca_rubra,graminoid,Kazmin and Abaturov,2011
Festuca_sp,graminoid,Boertje,1984
Festuca_sp,graminoid,Thompson and McCourt,1981
Flavocetraria_sp,lichen,Denryter et al.,2017
Galium_antarcticum,forb,Leader-williams et al,1981
Gaultheria_procumbens,shrub,Schaefer and Pruitt,1991
Graminae_sp,graminoid,Kojola et al,1995
Gramineae_sp,graminoid,Shank et al,1978
Graminides_sp,graminoid,Sormo et al,1999
Graminides_sp,graminoid,Sormo et al,1999
Hebeloma_testaceum,fungi,Joo et al,2014
Hieracium_sp,forb,Thompson et al,2015
Hieracium_sp,forb,Thompson et al,2015
Hieracium_sp,forb,Thompson et al,2015
Hierochloe_alpina,graminoid,Manseau et al.,1996
Hierochloe_alpina,graminoid,Denryter et al.,2017
Hierochloe_sp,graminoid,Boertje,1984
horsetail_sp,horsetail,Rozenfield et al,2012
Hylocomium_sp,moss,Thompson et al,2015
Hylocomium_sp,moss,Thompson et al,2015
Hylocomium_sp,moss,Thompson et al,2015
Juncaceae_sp,graminoid,Rozenfield et al,2012
Juncus_sp,graminoid,Shank et al,1978
Juncus_sp,rush,Leader-williams et al,1981
Juncus_trifidus,rush,Skogland,1984
Juniperus_communis,tree,Christopherson et al.,2019
Juniperus_sp,shrub,Schaefer and Pruitt,1991
Kalmia_polifolia,shrub,Schaefer and Pruitt,1991
Koeleria_asiatica,graminoid,Kazmin and Abaturov,2011
Lagotis_minor,forb,Kazmin and Abaturov,2011
Lathyrus_sp,forb,Denryter et al.,2017
Ledum_groenlandicum,forb,Thompson et al,2012
Ledum_groenlandicum,shrub,Scotter,1964
Ledum_palustre,shrub,White and Trudell,1980
Ledum_sp,forb,Boertje,1984
Ledum_sp,shrub,Kojola et al,1995
Ledum_sp,shrub,Thompson et al,2015
Ledum_sp,shrub,Thompson et al,2015
Ledum_sp,shrub,Thompson et al,2015
,lichen,Rozenfield et al,2012
Linnaea_borealis,forb,Manseau et al.,1996
Linnaea_sp,shrub,Thompson et al,2015
Linnaea_sp,shrub,Thompson et al,2015
Linnaea_sp,shrub,Thompson et al,2015
Lonicera_sp,shrub,Thompson et al,2015
Lonicera_sp,shrub,Thompson et al,2015
Lonicera_sp,shrub,Thompson et al,2015
Luzula_confusa,graminoid,Manseau et al.,1996
Luzula_confusa,rush,Bjune,2000
Luzula_confusa,rush,Van der Wal et al,1999
